nivel1,nivel2,nivel3,orders_ref,gfv_ref,qty_ref,incent_ref,orders_act,gfv_act,qty_act,incent_act,delta_gfv,share_act_orders_country,share_ref_orders_country,share_act_orders_local,share_ref_orders_local
COCINA,Food,Pescados y Mariscos,3281,3487750.0,6510,7418.0327868852455,3428,3635836.5,6925,5199.016393442623,148086.5,0.0028118550697057887,0.002748541538915193,0.004045295986330015,0.003978242734644783
COCINA,Food,Picadas,3052,2742357.21,5342,10530.27393442623,3360,3006133.33,5875,13099.393934426229,263776.1200000001,0.0027560773145307613,0.0025567048999601246,0.003965050908421485,0.0037005781243937452
COCINA,Food,Pizzas,149863,118084043.62,276178,519969.20016393455,146211,113569309.56000002,267575,454907.122295082,-4514734.0599999875,0.1199311964984694,0.1255424201909319,0.172539898324766,0.1817102684980406
COCINA,Food,Poke,22173,16641348.550000006,31738,162376.27180327874,24462,18401640.37,35164,146572.51836065575,1760291.8199999947,0.02006522716311056,0.018574645395418036,0.02886698670291856,0.026884966825747876
COCINA,Food,Pollo,8005,6057364.449999999,12724,26705.21524590164,9425,7006853.640000001,14941,58309.91803278688,949489.1900000013,0.007730960919479889,0.006705905217621494,0.01112220381305729,0.009706136266635626
COCINA,Food,Postres,16854,11051773.82,43053,37290.983606557376,19874,12224657.900000002,49640,41984.7593442623,1172884.080000002,0.016301869211007246,0.014118841541260793,0.023452804093443032,0.020435630310790362
COCINA,Food,Sushi,26971,36406036.760000005,54605,147610.22967213122,26705,35379565.59,54411,167927.74081967215,-1026471.1700000018,0.02190507282278095,0.022593999953087984,0.03151389419922493,0.032702586039653904
COCINA,Food,Sándwiches,22843,12955245.75,36690,24800.81967213115,24729,13823585.76,39795,18764.191147540987,868340.0099999998,0.020284236878283096,0.019135914164413216,0.029182066641177052,0.027697347999844798
COCINA,Food,Tartas,5423,2723337.25,12129,10769.672131147541,7425,4040137.7199999997,15676,23162.970819672133,1316800.4699999997,0.006090438708449674,0.004542926170538583,0.008762054462806406,0.006575437473324797
COCINA,Food,Tortillas,3170,2517038.23,5141,32025.697213114752,3170,2628953.7799999993,5448,36582.65704918033,111915.54999999935,0.002600227704482891,0.002655555220469723,0.003740836720147651,0.0038436542117720094
COCINA,Food,UNKNOWN,8358,6675139.17,16856,37643.92081967214,7143,5119421.41,13914,37640.713770491806,-1555717.7599999998,0.005859125076694414,0.0070016184645697,0.008429273404421032,0.010134152019555349
COCINA,Food,Woks,125,94370.0,174,2254.098360655738,368,324193.0,533,1229.5081967213114,229823.0,0.0003018560868295596,0.00010471432257372727,0.0004342674804461626,0.00015156365188375432
COCINA,Food,Wraps,11798,7938748.959999999,18160,96215.08000000002,12042,8237121.67,18599,75768.96704918033,298372.7100000009,0.009877584232612925,0.009883356621798674,0.014210459237860571,0.014305183719396267
COCINA,Local Stores,UNKNOWN,49617,38181564.98,103489,31534.75409836066,49118,37981527.400000006,103184,25654.672131147538,-200037.57999999076,0.04028958498069105,0.041564884345125,1.0,1.0
COCINA,Local Stores (Market),UNKNOWN,54657,41529759.06755555,267404,454363.3606557378,60385,45646412.00399999,290469,363073.2459016394,4116652.9364444464,0.049531466856529774,0.04578696583129769,1.0,1.0
